holiday_desc|holiday_dt
Good Friday|2015-04-03 00:00:00
Ascension Day|2014-05-29 00:00:00
New Year¦s Day|2008-01-01 00:00:00
Labour Day|2005-05-01 00:00:00
Christmas|2015-12-25 00:00:00
Whit Monday|2007-05-28 00:00:00
New Year¦s Day|2011-01-01 00:00:00
New Year¦s Day|2014-01-01 00:00:00
Saint Berchtold|2002-01-02 00:00:00
Good Friday|2004-04-09 00:00:00
St. Stephen¦s Day|2005-12-26 00:00:00
New Year¦s Day|2012-01-01 00:00:00
Ascension Day|2016-05-05 00:00:00
Ascension Day|2010-05-13 00:00:00
St. Stephen¦s Day|2015-12-26 00:00:00
Good Friday|2002-03-29 00:00:00
New Year¦s Day|2005-01-01 00:00:00
Easter Monday|2012-04-09 00:00:00
Easter|2007-04-08 00:00:00
Whit Monday|2008-05-12 00:00:00
Easter|2006-04-16 00:00:00
Easter|2009-04-12 00:00:00
Saint Berchtold|2016-01-02 00:00:00
Saint Berchtold|2012-01-02 00:00:00
Whitsun|2004-05-30 00:00:00
Labour Day|2003-05-01 00:00:00
Whit Monday|2005-05-16 00:00:00
New Year¦s Day|2004-01-01 00:00:00
Easter|2015-04-05 00:00:00
Easter Monday|2003-04-21 00:00:00
Ascension Day|2003-05-29 00:00:00
Easter Monday|2005-03-28 00:00:00
Swiss National Holiday|2012-08-01 00:00:00
Easter Monday|2016-03-28 00:00:00
Easter Monday|2014-04-21 00:00:00
Ascension Day|2015-05-14 00:00:00
Easter|2008-03-23 00:00:00
Whitsun|2010-05-23 00:00:00
Saint Berchtold|2006-01-02 00:00:00
Easter|2011-04-24 00:00:00
Ascension Day|2002-05-09 00:00:00
Ascension Day|2008-05-01 00:00:00
Good Friday|2009-04-10 00:00:00
Christmas|2010-12-25 00:00:00
Whitsun|2011-06-12 00:00:00
Swiss National Holiday|2002-08-01 00:00:00
New Year¦s Day|2003-01-01 00:00:00
Whitsun|2006-06-04 00:00:00
Swiss National Holiday|2007-08-01 00:00:00
Whitsun|2013-05-19 00:00:00
Swiss National Holiday|2016-08-01 00:00:00
Whit Monday|2012-05-28 00:00:00
St. Stephen¦s Day|2006-12-26 00:00:00
Christmas|2013-12-25 00:00:00
St. Stephen¦s Day|2014-12-26 00:00:00
Saint Berchtold|2003-01-02 00:00:00
St. Stephen¦s Day|2002-12-26 00:00:00
Whitsun|2012-05-27 00:00:00
Whitsun|2008-05-11 00:00:00
New Year¦s Day|2006-01-01 00:00:00
Christmas|2004-12-25 00:00:00
Swiss National Holiday|2006-08-01 00:00:00
Good Friday|2013-03-29 00:00:00
Ascension Day|2007-05-17 00:00:00
Good Friday|2011-04-22 00:00:00
Easter|2013-03-31 00:00:00
Labour Day|2011-05-01 00:00:00
Whit Monday|2011-06-13 00:00:00
Whit Monday|2014-06-09 00:00:00
New Year¦s Day|2013-01-01 00:00:00
Christmas|2005-12-25 00:00:00
Whit Monday|2006-06-05 00:00:00
Whitsun|2015-05-24 00:00:00
Whitsun|2014-06-08 00:00:00
Christmas|2012-12-25 00:00:00
St. Stephen¦s Day|2009-12-26 00:00:00
Whitsun|2005-05-15 00:00:00
Saint Berchtold|2015-01-02 00:00:00
Easter|2002-03-31 00:00:00
Easter Monday|2006-04-17 00:00:00
Swiss National Holiday|2005-08-01 00:00:00
Good Friday|2016-03-25 00:00:00
Ascension Day|2004-05-20 00:00:00
Good Friday|2010-04-02 00:00:00
Whit Monday|2004-05-31 00:00:00
Whitsun|2009-05-31 00:00:00
Whitsun|2003-06-08 00:00:00
Saint Berchtold|2008-01-02 00:00:00
New Year¦s Day|2016-01-01 00:00:00
Good Friday|2006-04-14 00:00:00
New Year¦s Day|2007-01-01 00:00:00
Easter|2004-04-11 00:00:00
Christmas|2014-12-25 00:00:00
Whitsun|2016-05-15 00:00:00
Labour Day|2007-05-01 00:00:00
Whit Monday|2013-05-20 00:00:00
St. Stephen¦s Day|2016-12-26 00:00:00
Whit Monday|2016-05-16 00:00:00
Saint Berchtold|2010-01-02 00:00:00
Swiss National Holiday|2008-08-01 00:00:00
Good Friday|2014-04-18 00:00:00
Labour Day|2012-05-01 00:00:00
Whit Monday|2003-06-09 00:00:00
Good Friday|2007-04-06 00:00:00
Good Friday|2012-04-06 00:00:00
Christmas|2003-12-25 00:00:00
St. Stephen¦s Day|2012-12-26 00:00:00
Swiss National Holiday|2003-08-01 00:00:00
Easter|2003-04-20 00:00:00
St. Stephen¦s Day|2010-12-26 00:00:00
Ascension Day|2006-05-25 00:00:00
Good Friday|2005-03-25 00:00:00
Ascension Day|2009-05-21 00:00:00
Swiss National Holiday|2011-08-01 00:00:00
Easter|2016-03-27 00:00:00
St. Stephen¦s Day|2007-12-26 00:00:00
New Year¦s Day|2002-01-01 00:00:00
Easter|2005-03-27 00:00:00
St. Stephen¦s Day|2003-12-26 00:00:00
Whit Monday|2009-06-01 00:00:00
Easter|2014-04-20 00:00:00
Christmas|2009-12-25 00:00:00
Easter Monday|2008-03-24 00:00:00
Christmas|2006-12-25 00:00:00
Saint Berchtold|2011-01-02 00:00:00
Whitsun|2002-05-19 00:00:00
Labour Day|2015-05-01 00:00:00
Swiss National Holiday|2013-08-01 00:00:00
Christmas|2007-12-25 00:00:00
Saint Berchtold|2009-01-02 00:00:00
Ascension Day|2013-05-09 00:00:00
Easter Monday|2002-04-01 00:00:00
Labour Day|2016-05-01 00:00:00
Labour Day|2006-05-01 00:00:00
Swiss National Holiday|2004-08-01 00:00:00
St. Stephen¦s Day|2011-12-26 00:00:00
Saint Berchtold|2005-01-02 00:00:00
Saint Berchtold|2013-01-02 00:00:00
Christmas|2008-12-25 00:00:00
Whit Monday|2015-05-25 00:00:00
New Year¦s Day|2015-01-01 00:00:00
St. Stephen¦s Day|2013-12-26 00:00:00
Saint Berchtold|2014-01-02 00:00:00
New Year¦s Day|2010-01-01 00:00:00
Easter|2012-04-08 00:00:00
Swiss National Holiday|2014-08-01 00:00:00
New Year¦s Day|2009-01-01 00:00:00
Christmas|2011-12-25 00:00:00
Easter Monday|2015-04-06 00:00:00
Saint Berchtold|2004-01-02 00:00:00
Whit Monday|2010-05-24 00:00:00
St. Stephen¦s Day|2004-12-26 00:00:00
Labour Day|2014-05-01 00:00:00
Ascension Day|2005-05-05 00:00:00
Swiss National Holiday|2010-08-01 00:00:00
Christmas|2002-12-25 00:00:00
Easter Monday|2010-04-05 00:00:00
Good Friday|2003-04-18 00:00:00
Saint Berchtold|2007-01-02 00:00:00
St. Stephen¦s Day|2008-12-26 00:00:00
Swiss National Holiday|2009-08-01 00:00:00
Ascension Day|2011-06-02 00:00:00
Labour Day|2004-05-01 00:00:00
Labour Day|2002-05-01 00:00:00
Easter Monday|2013-04-01 00:00:00
Labour Day|2013-05-01 00:00:00
Easter Monday|2011-04-25 00:00:00
Whitsun|2007-05-27 00:00:00
Labour Day|2009-05-01 00:00:00
Easter Monday|2009-04-13 00:00:00
Labour Day|2010-05-01 00:00:00
Easter Monday|2004-04-12 00:00:00
Easter Monday|2007-04-09 00:00:00
Good Friday|2008-03-21 00:00:00
Whit Monday|2002-05-20 00:00:00
Easter|2010-04-04 00:00:00
Ascension Day|2012-05-17 00:00:00
Labour Day|2008-05-01 00:00:00
Swiss National Holiday|2015-08-01 00:00:00
Christmas|2016-12-25 00:00:00
